QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,201,Berwick (Bruce),146,43.2,192,56.8,338,98.54,5,1.46,343
1,VIC,223,Berwick (La Trobe),853,44.99,1043,55.01,1896,98.75,24,1.25,1920
1,VIC,201,Berwick BRUCE PPVC,4048,35.04,7504,64.96,11552,99.24,88,0.76,11640
1,VIC,204,Berwick CASEY PPVC,167,39.2,259,60.8,426,98.84,5,1.16,431
1,VIC,201,Berwick Central,461,50.83,446,49.17,907,98.05,18,1.95,925
1,VIC,223,Berwick Chase,1003,51.89,930,48.11,1933,98.98,20,1.02,1953
1,VIC,201,Berwick Fields (Bruce),1217,48.8,1277,51.2,2494,99.05,24,0.95,2518
1,VIC,223,Berwick Fields (La Trobe),416,52.13,382,47.87,798,99.75,2,0.25,800
1,VIC,216,Berwick HOLT PPVC,730,39.89,1100,60.11,1830,99.13,16,0.87,1846
1,VIC,223,Berwick LA TROBE PPVC,6053,36.25,10647,63.75,16700,99.17,139,0.83,16839
1,VIC,201,Berwick Lodge (Bruce),452,46.08,529,53.92,981,98.89,11,1.11,992
1,VIC,223,Berwick Lodge (La Trobe),110,46.22,128,53.78,238,98.76,3,1.24,241
1,VIC,201,Berwick North,917,44.47,1145,55.53,2062,98.85,24,1.15,2086
1,VIC,223,Berwick South,389,50.45,382,49.55,771,99.48,4,0.52,775
1,VIC,218,Bethanga,124,35.63,224,64.37,348,99.15,3,0.85,351
1,VIC,224,Beulah,26,11.45,201,88.55,227,99.56,1,0.44,228
1,VIC,224,Beverford,19,14.84,109,85.16,128,100,0,0,128
1,VIC,226,Beveridge,453,41.6,636,58.4,1089,98.37,18,1.63,1107
1,VIC,200,Big Hill,224,41.1,321,58.9,545,98.55,8,1.45,553
1,VIC,224,Birchip,123,23.65,397,76.35,520,99.81,1,0.19,521
1,VIC,233,Birregurra,270,57.08,203,42.92,473,98.95,5,1.05,478
1,VIC,211,Bittern,220,45.45,264,54.55,484,99.18,4,0.82,488
1,VIC,198,Black Hill,839,63.9,474,36.1,1313,99.09,12,0.91,1325
1,VIC,214,Black Rock,612,62.51,367,37.49,979,99.19,8,0.81,987
1,VIC,214,Black Rock South,908,55.81,719,44.19,1627,99.09,15,0.91,1642
1,VIC,205,Blackburn (Chisholm),508,62.64,303,37.36,811,99.51,4,0.49,815
1,VIC,209,Blackburn (Deakin),266,68.21,124,31.79,390,99.24,3,0.76,393
1,VIC,209,Blackburn Lake,892,63.76,507,36.24,1399,98.87,16,1.13,1415
1,VIC,229,Blackburn North,683,62.89,403,37.11,1086,99.09,10,0.91,1096
1,VIC,229,Blackburn North Heights,924,62.01,566,37.99,1490,99,15,1,1505
1,VIC,205,Blackburn South,1047,55.48,840,44.52,1887,98.8,23,1.2,1910
1,VIC,229,Blackburn Upper,677,58.16,487,41.84,1164,99.06,11,0.94,1175
1,VIC,229,Blackburn West,464,57.64,341,42.36,805,98.89,9,1.11,814
1,VIC,326,Blackwood,146,55.51,117,44.49,263,98.87,3,1.13,266
1,VIC,211,Blairgowrie,405,53.15,357,46.85,762,98.7,10,1.3,772
1,VIC,213,Boisdale,79,25.73,228,74.27,307,99.35,2,0.65,309
1,VIC,226,Bolinda,139,35.64,251,64.36,390,98.48,6,1.52,396
1,VIC,233,Bolwarra,90,31.25,198,68.75,288,98.63,4,1.37,292
1,VIC,323,Bona Vista,86,37.55,143,62.45,229,97.86,5,2.14,234
1,VIC,219,Bonbeach,803,57.81,586,42.19,1389,98.86,16,1.14,1405
1,VIC,218,Bonegilla,108,31.67,233,68.33,341,99.71,1,0.29,342
1,VIC,211,Boneo,194,57.23,145,42.77,339,99.41,2,0.59,341
1,VIC,218,Bonnie Doon,52,29.05,127,70.95,179,100,0,0,179
1,VIC,213,Boolarra,190,37.55,316,62.45,506,98.64,7,1.36,513
1,VIC,224,Boort,110,19.23,462,80.77,572,98.96,6,1.04,578
1,VIC,197,Boronia,584,46.42,674,53.58,1258,98.74,16,1.26,1274
1,VIC,197,Boronia ASTON PPVC,6683,39.55,10213,60.45,16896,99,171,1,17067
1,VIC,204,Boronia CASEY PPVC,1846,48.04,1997,51.96,3843,98.92,42,1.08,3885
1,VIC,209,Boronia DEAKIN PPVC,971,37.77,1600,62.23,2571,99.15,22,0.85,2593
1,VIC,197,Boronia East,554,51.2,528,48.8,1082,98.9,12,1.1,1094
1,VIC,197,Boronia North,626,48.6,662,51.4,1288,98.47,20,1.53,1308
1,VIC,197,Boronia West,852,51.64,798,48.36,1650,98.92,18,1.08,1668
