QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,193,Preston,27,25.96,77,74.04,104,99.05,1,0.95,105
1,TAS,196,Primrose Sands,156,36.97,266,63.03,422,97.46,11,2.54,433
1,TAS,192,Prospect (Bass),124,35.84,222,64.16,346,98.3,6,1.7,352
1,TAS,196,Prospect (Lyons),470,34.92,876,65.08,1346,98.54,20,1.46,1366
1,TAS,192,Prospect East (Bass),49,32.89,100,67.11,149,98.03,3,1.97,152
1,TAS,196,Prospect East (Lyons),80,44.69,99,55.31,179,99.44,1,0.56,180
1,TAS,193,Queenstown,89,31.12,197,68.88,286,99.31,2,0.69,288
1,TAS,193,Queenstown PPVC,157,20.26,618,79.74,775,98.6,11,1.4,786
1,TAS,196,Railton,148,23.87,472,76.13,620,98.57,9,1.43,629
1,TAS,195,Ranelagh,442,44.69,547,55.31,989,98.51,15,1.49,1004
1,TAS,192,Ravenswood,373,25.76,1075,74.24,1448,98.37,24,1.63,1472
1,TAS,193,Riana,51,30.54,116,69.46,167,99.4,1,0.6,168
1,TAS,196,Richmond,376,43.57,487,56.43,863,99.31,6,0.69,869
1,TAS,193,Ridgley,113,20.73,432,79.27,545,98.73,7,1.27,552
1,TAS,192,Ringarooma,81,29.45,194,70.55,275,97.86,6,2.14,281
1,TAS,195,Risdon Vale,474,33.93,923,66.07,1397,98.52,21,1.48,1418
1,TAS,192,Riverside,578,42.34,787,57.66,1365,99.2,11,0.8,1376
1,TAS,192,Riverside North,113,42.8,151,57.2,264,99.62,1,0.38,265
1,TAS,192,Rocherlea,81,33.75,159,66.25,240,99.17,2,0.83,242
1,TAS,193,Rocky Cape,73,19.84,295,80.16,368,99.46,2,0.54,370
1,TAS,195,Rokeby,547,39.41,841,60.59,1388,98.37,23,1.63,1411
1,TAS,193,Romaine,349,29.23,845,70.77,1194,98.68,16,1.32,1210
1,TAS,193,Rosebery,87,27.97,224,72.03,311,99.04,3,0.96,314
1,TAS,319,Rosetta,304,57.36,226,42.64,530,97.43,14,2.57,544
1,TAS,196,Ross,93,31.63,201,68.37,294,99.32,2,0.68,296
1,TAS,319,Sandfly (Clark),139,57.44,103,42.56,242,97.98,5,2.02,247
1,TAS,195,Sandfly (Franklin),349,52.56,315,47.44,664,98.81,8,1.19,672
1,TAS,195,Sandford,854,57.12,641,42.88,1495,99.14,13,0.86,1508
1,TAS,319,Sandy Bay,700,62.44,421,37.56,1121,99.64,4,0.36,1125
1,TAS,319,Sandy Bay Beach,291,50.26,288,49.74,579,99.83,1,0.17,580
1,TAS,319,Sandy Bay Central,670,72.12,259,27.88,929,98.94,10,1.06,939
