QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,QLD,175,Bracken Ridge East,743,42.29,1014,57.71,1757,98.99,18,1.01,1775
1,QLD,175,Bracken Ridge South,328,42.65,441,57.35,769,98.97,8,1.03,777
1,QLD,175,Bracken Ridge West,801,39.89,1207,60.11,2008,99.11,18,0.89,2026
1,QLD,166,Branyan,204,18.98,871,81.02,1075,98.9,12,1.1,1087
1,QLD,304,Brassall,557,32.42,1161,67.58,1718,98.85,20,1.15,1738
1,QLD,304,Brassall North,581,32.33,1216,67.67,1797,98.68,24,1.32,1821
1,QLD,252,Bray Park,590,35.1,1091,64.9,1681,98.48,26,1.52,1707
1,QLD,252,Bray Park West,1063,32.39,2219,67.61,3282,98.71,43,1.29,3325
1,QLD,302,Bribie Island PPVC,2647,21.38,9732,78.62,12379,99.4,75,0.6,12454
1,QLD,252,Bridgeman Downs (Dickson),280,43.48,364,56.52,644,99.23,5,0.77,649
1,QLD,175,Bridgeman Downs (Petrie),718,38.35,1154,61.65,1872,99.52,9,0.48,1881
1,QLD,169,Brighton,867,49.54,883,50.46,1750,99.43,10,0.57,1760
1,QLD,169,Brighton South,783,49.53,798,50.47,1581,99.12,14,0.88,1595
1,QLD,168,Brinsmead,427,37.03,726,62.97,1153,98.38,19,1.62,1172
1,QLD,310,Brisbane BONNER PPVC,61,47.66,67,52.34,128,99.22,1,0.78,129
1,QLD,156,Brisbane BRISBANE PPVC,2435,53.74,2096,46.26,4531,99.34,30,0.66,4561
1,QLD,310,Brisbane Central BONNER PPVC,876,49.91,879,50.09,1755,99.15,15,0.85,1770
1,QLD,156,Brisbane Central BRISBANE PPVC,6616,54.97,5419,45.03,12035,99.44,68,0.56,12103
1,QLD,252,Brisbane Central DICKSON PPVC,580,50.43,570,49.57,1150,98.63,16,1.37,1166
1,QLD,163,Brisbane Central GRIFFITH PPVC,3962,58.17,2849,41.83,6811,99.34,45,0.66,6856
1,QLD,169,Brisbane Central LILLEY PPVC,1469,56.57,1128,43.43,2597,99.16,22,0.84,2619
1,QLD,173,Brisbane Central MORETON PPVC,1570,55.87,1240,44.13,2810,98.84,33,1.16,2843
1,QLD,174,Brisbane Central OXLEY PPVC,625,52.21,572,47.79,1197,99.34,8,0.66,1205
1,QLD,175,Brisbane Central PETRIE PPVC,425,47.59,468,52.41,893,98.78,11,1.22,904
1,QLD,176,Brisbane Central RANKIN PPVC,439,46.41,507,53.59,946,99.16,8,0.84,954
1,QLD,177,Brisbane Central RYAN PPVC,2272,58.24,1629,41.76,3901,99.54,18,0.46,3919
1,QLD,163,Brisbane GRIFFITH PPVC,401,48.26,430,51.74,831,98.81,10,1.19,841
1,QLD,169,Brisbane LILLEY PPVC,135,56.02,106,43.98,241,100,0,0,241
1,QLD,173,Brisbane MORETON PPVC,131,61.79,81,38.21,212,99.53,1,0.47,213
1,QLD,310,Brisbane North (Bonner),60,62.5,36,37.5,96,98.97,1,1.03,97
1,QLD,156,Brisbane North (Brisbane),1336,60.51,872,39.49,2208,99.15,19,0.85,2227
1,QLD,252,Brisbane North (Dickson),34,52.31,31,47.69,65,97.01,2,2.99,67
1,QLD,163,Brisbane North (Griffith),443,65.73,231,34.27,674,99.12,6,0.88,680
1,QLD,169,Brisbane North (Lilley),96,62.75,57,37.25,153,99.35,1,0.65,154
1,QLD,173,Brisbane North (Moreton),145,64.73,79,35.27,224,98.25,4,1.75,228
1,QLD,174,Brisbane North (Oxley),56,54.9,46,45.1,102,99.03,1,0.97,103
1,QLD,175,Brisbane North (Petrie),41,50.62,40,49.38,81,98.78,1,1.22,82
1,QLD,176,Brisbane North (Rankin),46,56.1,36,43.9,82,100,0,0,82
1,QLD,177,Brisbane North (Ryan),213,65.54,112,34.46,325,99.09,3,0.91,328
1,QLD,177,Brisbane RYAN PPVC,213,54.76,176,45.24,389,99.74,1,0.26,390
1,QLD,172,Broadbeach,688,38.18,1114,61.82,1802,98.79,22,1.21,1824
1,QLD,172,Broadbeach Waters,431,35.18,794,64.82,1225,98.16,23,1.84,1248
1,QLD,171,Broadbeach Waters MCPHERSON PPVC,380,27.08,1023,72.92,1403,98.87,16,1.13,1419
1,QLD,172,Broadbeach Waters MONCRIEFF PPVC,1879,26.68,5165,73.32,7044,99.09,65,0.91,7109
1,QLD,172,Broadbeach Waters West,182,33.27,365,66.73,547,98.38,9,1.62,556
1,QLD,170,Broadwater Crossing,36,16.29,185,83.71,221,99.55,1,0.45,222
1,QLD,177,Brookfield,638,47.75,698,52.25,1336,99.63,5,0.37,1341
1,QLD,178,Brooweena,14,15.56,76,84.44,90,98.9,1,1.1,91
1,QLD,176,Browns Plains,710,37.02,1208,62.98,1918,98.21,35,1.79,1953
1,QLD,162,Browns Plains FORDE PPVC,905,22.45,3126,77.55,4031,99.07,38,0.93,4069
1,QLD,176,Browns Plains RANKIN PPVC,2763,27.21,7393,72.79,10156,99.02,100,0.98,10256
1,QLD,316,Browns Plains WRIGHT PPVC,435,20.92,1644,79.08,2079,98.86,24,1.14,2103
1,QLD,158,Bucasia,447,26.17,1261,73.83,1708,99.13,15,0.87,1723
1,QLD,161,Buddina,683,35.83,1223,64.17,1906,98.5,29,1.5,1935
1,QLD,160,Buddina FAIRFAX PPVC,542,32.55,1123,67.45,1665,98.99,17,1.01,1682
1,QLD,161,Buddina FISHER PPVC,2313,25.65,6704,74.35,9017,99.14,78,0.86,9095
1,QLD,160,Buderim,794,43.67,1024,56.33,1818,99.07,17,0.93,1835
1,QLD,160,Buderim FAIRFAX PPVC,3303,33.93,6432,66.07,9735,99.41,58,0.59,9793
