2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:48 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,SA,179,Colonel Light Gardens ADELAIDE PPVC,859,47.12,964,52.88,1823,99.29,13,0.71,1836
1,SA,182,Colonel Light Gardens BOOTHBY PPVC,4486,42.32,6114,57.68,10600,99.19,87,0.81,10687
1,SA,188,Colonel Light Gardens MAYO PPVC,345,44.69,427,55.31,772,99.61,3,0.39,775
1,SA,180,Compton,84,21.32,310,78.68,394,97.77,9,2.23,403
1,SA,183,Coober Pedy,125,23.54,406,76.46,531,98.7,7,1.3,538
1,SA,183,Coober Pedy PPVC,0,0,0,0,0,0,0,0,0
1,SA,183,Coobowie,40,21.16,149,78.84,189,99.47,1,0.53,190
1,SA,180,Coomandook,17,14.53,100,85.47,117,99.15,1,0.85,118
1,SA,180,Coonalpyn,23,12.78,157,87.22,180,100,0,0,180
1,SA,180,Coonawarra,47,28.66,117,71.34,164,100,0,0,164
1,SA,183,Corny Point,38,26.39,106,73.61,144,99.31,1,0.69,145
1,SA,188,Coromandel Valley,765,57.43,567,42.57,1332,98.89,15,1.11,1347
1,SA,179,Cowandilla (Adelaide),1259,50.48,1235,49.52,2494,98.5,38,1.5,2532
1,SA,185,Cowandilla (Hindmarsh),293,42.71,393,57.29,686,99.56,3,0.44,689
1,SA,183,Cowell,72,10.91,588,89.09,660,98.95,7,1.05,667
1,SA,188,Crafers,835,59.77,562,40.23,1397,99.08,13,0.92,1410
1,SA,325,Craigmore North,554,28.78,1371,71.22,1925,99.02,19,0.98,1944
1,SA,325,Craigmore South,546,23.78,1750,76.22,2296,99.09,21,0.91,2317
1,SA,179,Croydon,708,59.7,478,40.3,1186,98.83,14,1.17,1200
1,SA,179,Croydon Park,347,41.02,499,58.98,846,98.03,17,1.97,863
1,SA,183,Crystal Brook,176,22.36,611,77.64,787,98.75,10,1.25,797
1,SA,188,Cudlee Creek,44,27.33,117,72.67,161,98.77,2,1.23,163
1,SA,183,Cummins,92,14.05,563,85.95,655,99.54,3,0.46,658
1,SA,183,Curramulka,23,15.03,130,84.97,153,99.35,1,0.65,154
1,SA,188,Currency Creek,174,34.87,325,65.13,499,98.62,7,1.38,506
1,SA,183,Darke Peak,3,5.17,55,94.83,58,100,0,0,58
1,SA,325,Davoren Park,427,28.33,1080,71.67,1507,97.86,33,2.14,1540
1,SA,182,Daw Park,189,56.76,144,43.24,333,98.52,5,1.48,338
1,SA,188,Delamere,83,32.55,172,67.45,255,98.84,3,1.16,258
1,SA,190,Dernancourt,450,42.25,615,57.75,1065,99.07,10,0.93,1075
1,SA,325,Direk,460,27.54,1210,72.46,1670,98.7,22,1.3,1692
1,SA,183,Dublin,112,18.79,484,81.21,596,98.84,7,1.16,603
1,SA,190,Dulwich,463,54.73,383,45.27,846,99.41,5,0.59,851
1,SA,179,EAV Adelaide PPVC,18,75,6,25,24,100,0,0,24
1,SA,180,EAV Barker PPVC,2,28.57,5,71.43,7,100,0,0,7
1,SA,182,EAV Boothby PPVC,0,0,0,0,0,0,0,0,0
1,SA,183,EAV Grey PPVC,4,44.44,5,55.56,9,100,0,0,9
1,SA,185,EAV Hindmarsh PPVC,0,0,0,0,0,0,0,0,0
1,SA,186,EAV Kingston PPVC,0,0,0,0,0,0,0,0,0
1,SA,187,EAV Makin PPVC,3,27.27,8,72.73,11,100,0,0,11
1,SA,188,EAV Mayo PPVC,2,25,6,75,8,100,0,0,8
1,SA,325,EAV Spence PPVC,6,54.55,5,45.45,11,100,0,0,11
1,SA,190,EAV Sturt PPVC,9,50,9,50,18,100,0,0,18
1,SA,188,Echunga,330,42.09,454,57.91,784,98.99,8,1.01,792
1,SA,182,Eden Hills,622,62.83,368,37.17,990,99,10,1,1000
1,SA,180,Eden Valley,141,37.01,240,62.99,381,99.22,3,0.78,384
1,SA,183,Edithburgh,78,20.37,305,79.63,383,98.46,6,1.54,389
1,SA,182,Edwardstown,824,51.4,779,48.6,1603,98.46,25,1.54,1628
1,SA,325,Elizabeth,86,39.09,134,60.91,220,97.78,5,2.22,225
1,SA,325,Elizabeth Downs,452,28.36,1142,71.64,1594,98.58,23,1.42,1617
1,SA,325,Elizabeth East,428,30.01,998,69.99,1426,99.1,13,0.9,1439
1,SA,325,Elizabeth Grove,263,30.06,612,69.94,875,97.87,19,2.13,894
1,SA,187,Elizabeth MAKIN PPVC,200,27.62,524,72.38,724,98.64,10,1.36,734
1,SA,325,Elizabeth North,371,28.06,951,71.94,1322,98.29,23,1.71,1345
1,SA,325,Elizabeth Park,486,31.87,1039,68.13,1525,97.69,36,2.31,1561
1,SA,325,Elizabeth South,403,32.5,837,67.5,1240,98.26,22,1.74,1262
1,SA,325,Elizabeth SPENCE PPVC,2040,25.99,5808,74.01,7848,99.23,61,0.77,7909
1,SA,325,Elizabeth Vale,436,32.96,887,67.04,1323,98.44,21,1.56,1344
1,SA,183,Elliston,89,36.78,153,63.22,242,98.78,3,1.22,245
1,SA,179,Enfield,747,48.16,804,51.84,1551,98.23,28,1.77,1579
1,SA,179,Enfield PPVC,2695,39.61,4108,60.39,6803,99.08,63,0.92,6866
1,SA,183,Eudunda,94,16.43,478,83.57,572,98.79,7,1.21,579
1,SA,325,Evanston,381,29.81,897,70.19,1278,98.69,17,1.31,1295
1,SA,325,Evanston Gardens,439,29.7,1039,70.3,1478,99.39,9,0.61,1487
1,SA,325,Evanston South,427,38.89,671,61.11,1098,99.19,9,0.81,1107
1,SA,187,Fairview Park,467,35.43,851,64.57,1318,98.73,17,1.27,1335
1,SA,183,Farrell Flat,33,17.28,158,82.72,191,97.95,4,2.05,195
1,SA,190,Felixstow,382,52.33,348,47.67,730,98.92,8,1.08,738
1,SA,185,Findon,601,38.35,966,61.65,1567,98.55,23,1.45,1590
1,SA,185,Findon West,572,39.02,894,60.98,1466,98.72,19,1.28,1485
1,SA,186,Flagstaff Hill,1142,47.74,1250,52.26,2392,98.64,33,1.36,2425
1,SA,186,Flagstaff Hill East (Kingston),290,54,247,46,537,99.26,4,0.74,541
1,SA,188,Flagstaff Hill East (Mayo),225,59.21,155,40.79,380,98.7,5,1.3,385
1,SA,179,Flinders Park (Adelaide),235,42.81,314,57.19,549,99.1,5,0.9,554
1,SA,185,Flinders Park (Hindmarsh),659,40.18,981,59.82,1640,98.8,20,1.2,1660
1,SA,188,Forreston,73,30.04,170,69.96,243,99.18,2,0.82,245
1,SA,180,Frances,13,28.26,33,71.74,46,100,0,0,46
1,SA,180,Freeling,214,18.77,926,81.23,1140,99.22,9,0.78,1149
1,SA,185,Fulham,313,38.64,497,61.36,810,98.54,12,1.46,822
1,SA,185,Fulham Gardens,602,37.07,1022,62.93,1624,98.72,21,1.28,1645
1,SA,185,Fulham North,359,47.99,389,52.01,748,99.07,7,0.93,755
1,SA,179,Fullarton,502,62.59,300,37.41,802,99.38,5,0.62,807
1,SA,180,Furner,13,11.82,97,88.18,110,100,0,0,110
1,SA,325,Gawler,166,34.87,310,65.13,476,99.37,3,0.63,479
1,SA,180,Gawler BARKER PPVC,219,22.98,734,77.02,953,99.27,7,0.73,960
1,SA,325,Gawler East,524,29.5,1252,70.5,1776,98.83,21,1.17,1797
1,SA,183,Gawler GREY PPVC,210,17.47,992,82.53,1202,99.17,10,0.83,1212
1,SA,325,Gawler South,425,32.15,897,67.85,1322,98.22,24,1.78,1346
1,SA,325,Gawler SPENCE PPVC,1541,22.86,5199,77.14,6740,99.25,51,0.75,6791
1,SA,325,Gawler West,289,32.33,605,67.67,894,99,9,1,903
1,SA,183,Georgetown,31,20.81,118,79.19,149,99.33,1,0.67,150
1,SA,190,Gilles Plains,479,43.66,618,56.34,1097,98.21,20,1.79,1117
1,SA,183,Gladstone,92,22.6,315,77.4,407,99.27,3,0.73,410
1,SA,190,Glen Osmond,281,50.45,276,49.55,557,99.46,3,0.54,560
1,SA,180,Glenburnie,44,24.44,136,75.56,180,98.9,2,1.1,182
1,SA,180,Glencoe,54,19.35,225,80.65,279,99.64,1,0.36,280
1,SA,182,Glenelg,265,46.49,305,53.51,570,98.96,6,1.04,576
1,SA,179,Glenelg ADELAIDE PPVC,942,42.07,1297,57.93,2239,99.16,19,0.84,2258
1,SA,182,Glenelg BOOTHBY PPVC,2326,37.4,3893,62.6,6219,99.15,53,0.85,6272
1,SA,182,Glenelg Central,556,45.99,653,54.01,1209,97.97,25,2.03,1234
1,SA,182,Glenelg East,393,49.81,396,50.19,789,99.25,6,0.75,795
1,SA,185,Glenelg HINDMARSH PPVC,1005,34.34,1922,65.66,2927,98.89,33,1.11,2960
1,SA,182,Glenelg North (Boothby),647,45.47,776,54.53,1423,99.03,14,0.97,1437
1,SA,185,Glenelg North (Hindmarsh),195,49.74,197,50.26,392,98.99,4,1.01,396
1,SA,182,Glenelg South,795,49.66,806,50.34,1601,99.26,12,0.74,1613
1,SA,182,Glengowrie,838,48.41,893,51.59,1731,98.91,19,1.09,1750
1,SA,190,Glenunga,777,53.44,677,46.56,1454,99.32,10,0.68,1464
1,SA,180,Glossop,87,17.19,419,82.81,506,99.02,5,0.98,511
1,SA,190,Glynde,579,42.57,781,57.43,1360,98.12,26,1.88,1386
1,SA,187,Golden Grove,321,31.94,684,68.06,1005,99.31,7,0.69,1012
1,SA,187,Golden Grove Central,380,38.66,603,61.34,983,99.7,3,0.3,986
1,SA,187,Golden Grove East,552,37.65,914,62.35,1466,98.85,17,1.15,1483
1,SA,187,Golden Grove PPVC,2675,24.98,8032,75.02,10707,99.27,79,0.73,10786
1,SA,179,Goodwood,1248,67.53,600,32.47,1848,99.46,10,0.54,1858
1,SA,179,Goodwood Park,302,66.37,153,33.63,455,99.78,1,0.22,456
1,SA,188,Goolwa,490,38.13,795,61.87,1285,98.62,18,1.38,1303
1,SA,188,Goolwa Central,391,40.02,586,59.98,977,99.49,5,0.51,982
1,SA,188,Goolwa PPVC,1181,29.23,2860,70.77,4041,99.12,36,0.88,4077
1,SA,185,Grange,943,48.19,1014,51.81,1957,98.94,21,1.06,1978
1,SA,185,Grange Beach,242,47.27,270,52.73,512,99.03,5,0.97,517
1,SA,179,Greenacres,758,46.22,882,53.78,1640,99.03,16,0.97,1656
1,SA,180,Greenock,229,32.48,476,67.52,705,98.88,8,1.12,713
1,SA,187,Greenwith West,794,34.17,1530,65.83,2324,98.77,29,1.23,2353
1,SA,188,Gumeracha,214,40.23,318,59.77,532,97.97,11,2.03,543
1,SA,186,Hackham East,711,36.16,1255,63.84,1966,98.4,32,1.6,1998
1,SA,186,Hackham West,402,36.65,695,63.35,1097,97.86,24,2.14,1121
1,SA,188,Hahndorf,535,43.57,693,56.43,1228,98.71,16,1.29,1244
1,SA,183,Hallett,22,18.49,97,81.51,119,100,0,0,119
1,SA,186,Hallett Cove,406,43.66,524,56.34,930,99.04,9,0.96,939
1,SA,186,Hallett Cove Central,536,41.45,757,58.55,1293,98.78,16,1.22,1309
1,SA,186,Hallett Cove East,580,43.03,768,56.97,1348,98.75,17,1.25,1365
1,SA,186,Hallett Cove PPVC,2018,29.98,4713,70.02,6731,99.32,46,0.68,6777
1,SA,186,Hallett Cove South,349,42.3,476,57.7,825,98.68,11,1.32,836
1,SA,183,Hamley Bridge,124,26.22,349,73.78,473,98.95,5,1.05,478
1,SA,186,Happy Valley,669,42.1,920,57.9,1589,99.06,15,0.94,1604
1,SA,186,Happy Valley West,741,43.74,953,56.26,1694,98.6,24,1.4,1718
1,SA,183,Hardwicke Bay,29,25,87,75,116,99.15,1,0.85,117
1,SA,183,Hawker,56,31.82,120,68.18,176,99.44,1,0.56,177
1,SA,182,Hawthorn West,909,56.25,707,43.75,1616,99.38,10,0.62,1626
1,SA,188,Hawthorndene,903,63.37,522,36.63,1425,99.16,12,0.84,1437
1,SA,190,Hectorville,572,39.5,876,60.5,1448,98.91,16,1.09,1464
1,SA,185,Henley Beach,579,52.02,534,47.98,1113,98.76,14,1.24,1127
1,SA,185,Henley South,591,48.88,618,51.12,1209,98.94,13,1.06,1222
1,SA,325,Hewett,461,31.62,997,68.38,1458,99.39,9,0.61,1467
1,SA,190,Highbury East,434,39.82,656,60.18,1090,99.45,6,0.55,1096
1,SA,190,Highbury South,668,39.04,1043,60.96,1711,98.79,21,1.21,1732
1,SA,190,Highbury West,322,45.29,389,54.71,711,99.03,7,0.97,718
1,SA,325,Hillbank,459,33.33,918,66.67,1377,98.71,18,1.29,1395
1,SA,190,Holden Hill,536,40.45,789,59.55,1325,98.88,15,1.12,1340
1,SA,188,Houghton,128,37.21,216,62.79,344,99.14,3,0.86,347
1,SA,186,Huntfield Heights,362,35.28,664,64.72,1026,98.18,19,1.82,1045
1,SA,187,Ingle Farm,561,36.15,991,63.85,1552,98.17,29,1.83,1581
1,SA,187,Ingle Farm North,292,36.73,503,63.27,795,98.27,14,1.73,809
1,SA,183,Iron Knob,20,26.67,55,73.33,75,97.4,2,2.6,77
1,SA,183,Jamestown,162,15.31,896,84.69,1058,99.53,5,0.47,1063
1,SA,180,Jervois,21,13.73,132,86.27,153,98.08,3,1.92,156
1,SA,183,Kadina,235,18.74,1019,81.26,1254,98.97,13,1.03,1267
1,SA,183,Kadina PPVC,768,14.08,4687,85.92,5455,99.58,23,0.42,5478
1,SA,180,Kalangadoo,49,17.82,226,82.18,275,98.92,3,1.08,278
1,SA,188,Kangarilla,198,34.86,370,65.14,568,99.13,5,0.87,573
1,SA,180,Kapunda,408,25.71,1179,74.29,1587,99.19,13,0.81,1600
1,SA,180,Karoonda,34,12.06,248,87.94,282,98.95,3,1.05,285
1,SA,180,Keith,106,12.93,714,87.07,820,100,0,0,820
1,SA,190,Kensington,751,60.81,484,39.19,1235,99.52,6,0.48,1241
1,SA,190,Kensington Gardens,277,50.55,271,49.45,548,100,0,0,548
1,SA,190,Kensington Park,785,55.44,631,44.56,1416,99.16,12,0.84,1428
1,SA,190,Kent Town,442,57.48,327,42.52,769,99.23,6,0.77,775
1,SA,188,Kersbrook,213,32.67,439,67.33,652,99.54,3,0.46,655
1,SA,179,Keswick,523,54.76,432,45.24,955,98.86,11,1.14,966
1,SA,180,Keyneton,50,31.06,111,68.94,161,99.38,1,0.62,162
