2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-19T17:33:49 Cycle:105353d2-ec22-4dab-bfed-428bd67db69c Created:2023-10-19T17:33:42 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,NSW,113,Bellbrook,26,27.37,69,72.63,95,98.96,1,1.04,96
1,NSW,152,Bellevue Hill,1106,61.44,694,38.56,1800,98.52,27,1.48,1827
1,NSW,152,Bellevue Hill South,503,50.05,502,49.95,1005,98.53,15,1.47,1020
1,NSW,113,Bellingen,1345,65.93,695,34.07,2040,97.89,44,2.11,2084
1,NSW,113,Bellingen North,89,67.42,43,32.58,132,100,0,0,132
1,NSW,148,Belmont,134,37.22,226,62.78,360,99.45,2,0.55,362
1,NSW,148,Belmont Central,439,40.42,647,59.58,1086,98.46,17,1.54,1103
1,NSW,148,Belmont North,361,37.14,611,62.86,972,98.18,18,1.82,990
1,NSW,148,Belmont PPVC,4405,30.91,9845,69.09,14250,98.96,150,1.04,14400
1,NSW,148,Belmont West,229,38.42,367,61.58,596,97.7,14,2.3,610
1,NSW,104,Belmore BARTON PPVC,847,31.09,1877,68.91,2724,99.02,27,0.98,2751
1,NSW,251,Belmore Central,377,40.11,563,59.89,940,97.81,21,2.19,961
1,NSW,251,Belmore North,724,43.22,951,56.78,1675,97.78,38,2.22,1713
1,NSW,251,Belmore South,483,39.56,738,60.44,1221,97.76,28,2.24,1249
1,NSW,251,Belmore WATSON PPVC,5084,37.19,8585,62.81,13669,98.29,238,1.71,13907
1,NSW,132,Belrose,1161,51.76,1082,48.24,2243,98.9,25,1.1,2268
1,NSW,132,Belrose North,755,45.29,912,54.71,1667,99.17,14,0.83,1681
1,NSW,117,Bemboka,95,33.69,187,66.31,282,98.95,3,1.05,285
1,NSW,135,Ben Lomond,13,11.82,97,88.18,110,99.1,1,0.9,111
1,NSW,135,Ben Venue,481,48.54,510,51.46,991,98.61,14,1.39,1005
1,NSW,135,Bendemeer,49,18.99,209,81.01,258,98.85,3,1.15,261
1,NSW,146,Bensville,170,43.26,223,56.74,393,99.49,2,0.51,395
1,NSW,138,Bentley,56,29.32,135,70.68,191,100,0,0,191
1,NSW,107,Berala,634,46.76,722,53.24,1356,96.58,48,3.42,1404
1,NSW,107,Berala BLAXLAND PPVC,4688,40,7033,60,11721,98.08,229,1.92,11950
1,NSW,140,Berala PARRAMATTA PPVC,350,36.73,603,63.27,953,97.64,23,2.36,976
1,NSW,144,Berala REID PPVC,947,42.75,1268,57.25,2215,98.97,23,1.03,2238
1,NSW,107,Berala South,507,41.39,718,58.61,1225,97.15,36,2.85,1261
1,NSW,251,Berala WATSON PPVC,420,42.94,558,57.06,978,98.19,18,1.81,996
1,NSW,249,Beresfield,475,28.32,1202,71.68,1677,98.3,29,1.7,1706
1,NSW,150,Berkeley,391,34.27,750,65.73,1141,98.28,20,1.72,1161
1,NSW,150,Berkeley South,292,36.92,499,63.08,791,98.51,12,1.49,803
