QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,239,Capel,424,26.37,1184,73.63,1608,99.5,8,0.5,1616
1,WA,239,Carbunup River,113,37.17,191,62.83,304,99.35,2,0.65,306
1,WA,239,Carey Park,398,32.1,842,67.9,1240,98.73,16,1.27,1256
1,WA,239,Carey Park South,196,28.12,501,71.88,697,98.17,13,1.83,710
1,WA,242,Carine,588,45.9,693,54.1,1281,99.15,11,0.85,1292
1,WA,242,Carine North,393,57.79,287,42.21,680,99.27,5,0.73,685
1,WA,247,Carlisle,563,54.98,461,45.02,1024,98.56,15,1.44,1039
1,WA,312,Carnamah,24,11.48,185,88.52,209,99.52,1,0.48,210
1,WA,312,Carnarvon,164,32.16,346,67.84,510,99.42,3,0.58,513
1,WA,312,Carnarvon PPVC,369,23.52,1200,76.48,1569,99.68,5,0.32,1574
1,WA,244,Carramar,646,31.96,1375,68.04,2021,99.21,16,0.79,2037
1,WA,243,Castletown,200,21.1,748,78.9,948,99.06,9,0.94,957
1,WA,305,Caversham,789,40.34,1167,59.66,1956,98.89,22,1.11,1978
1,WA,243,Centennial Park,183,34.01,355,65.99,538,99.45,3,0.55,541
1,WA,312,Cervantes,25,9.62,235,90.38,260,98.48,4,1.52,264
1,WA,305,Chidlow,208,29.34,501,70.66,709,98.88,8,1.12,717
1,WA,238,Churchlands,742,52.85,662,47.15,1404,99.36,9,0.64,1413
1,WA,238,Churchlands North,245,51.91,227,48.09,472,99.58,2,0.42,474
1,WA,238,City Beach,639,50.31,631,49.69,1270,99.06,12,0.94,1282
1,WA,238,City Beach North,670,51.46,632,48.54,1302,98.94,14,1.06,1316
1,WA,238,Claremont,1078,50.97,1037,49.03,2115,99.25,16,0.75,2131
1,WA,244,Clarkson,340,41.67,476,58.33,816,98.67,11,1.33,827
1,WA,242,Clarkson MOORE PPVC,326,29.11,794,70.89,1120,99.2,9,0.8,1129
1,WA,244,Clarkson PEARCE PPVC,3346,27.11,8997,72.89,12343,99.21,98,0.79,12441
1,WA,244,Clarkson South,593,40.31,878,59.69,1471,99.12,13,0.88,1484
1,WA,244,Clarkson West,234,33.14,472,66.86,706,97.78,16,2.22,722
1,WA,239,Clifton Park,120,34.88,224,65.12,344,99.42,2,0.58,346
1,WA,247,Cloverdale,288,43.37,376,56.63,664,99.25,5,0.75,669
1,WA,235,Cockburn Central BRAND PPVC,271,30.25,625,69.75,896,98.79,11,1.21,907
1,WA,317,Cockburn Central BURT PPVC,714,33.57,1413,66.43,2127,99.58,9,0.42,2136
1,WA,240,Cockburn Central FREMANTLE PPVC,2389,32.4,4984,67.6,7373,99.23,57,0.77,7430
1,WA,240,Cockburn Central North FREMANTLE PPVC,1211,31.25,2664,68.75,3875,99.46,21,0.54,3896
1,WA,248,Cockburn Central North TANGNEY PPVC,92,31.19,203,68.81,295,100,0,0,295
1,WA,243,Collie,182,21.72,656,78.28,838,99.17,7,0.83,845
1,WA,243,Collie North,49,22.58,168,77.42,217,99.09,2,0.91,219
1,WA,243,Collie PPVC,682,17.36,3247,82.64,3929,99.37,25,0.63,3954
1,WA,243,Collie South,47,25.27,139,74.73,186,99.47,1,0.53,187
1,WA,247,Como,1045,51.84,971,48.16,2016,99.26,15,0.74,2031
1,WA,247,Como East,720,53.89,616,46.11,1336,99.26,10,0.74,1346
1,WA,247,Como South,452,49.78,456,50.22,908,98.59,13,1.41,921
1,WA,243,Condingup,14,15.73,75,84.27,89,98.89,1,1.11,90
1,WA,242,Connolly,524,37.4,877,62.6,1401,99.29,10,0.71,1411
1,WA,236,Coodanup,255,29.01,624,70.99,879,98.43,14,1.57,893
1,WA,240,Coogee,673,39.73,1021,60.27,1694,98.43,27,1.57,1721
1,WA,240,Coolbellup,908,53.82,779,46.18,1687,98.77,21,1.23,1708
1,WA,245,Coolbinia,867,51.76,808,48.24,1675,99.05,16,0.95,1691
1,WA,243,Coolgardie,72,25.26,213,74.74,285,100,0,0,285
1,WA,235,Cooloongup,277,27.24,740,72.76,1017,99.03,10,0.97,1027
1,WA,235,Cooloongup South,213,33.18,429,66.82,642,98.17,12,1.83,654
1,WA,236,Coolup,57,13.32,371,86.68,428,99.53,2,0.47,430
1,WA,312,Coorow,14,11.86,104,88.14,118,100,0,0,118
1,WA,312,Coral Bay,36,45,44,55,80,97.56,2,2.44,82
1,WA,243,Corrigin,94,18.11,425,81.89,519,98.86,6,1.14,525
1,WA,238,Cottesloe,912,53.08,806,46.92,1718,99.42,10,0.58,1728
1,WA,238,Cottesloe North,866,56.12,677,43.88,1543,98.91,17,1.09,1560
1,WA,239,Cowaramup,498,50.61,486,49.39,984,99.09,9,0.91,993
1,WA,242,Craigie,762,42.64,1025,57.36,1787,98.84,21,1.16,1808
1,WA,243,Cranbrook,37,10.72,308,89.28,345,99.14,3,0.86,348
1,WA,243,Cuballing,52,19.62,213,80.38,265,98.88,3,1.12,268
